n,time_s,x_q24,p_q24,reference_x_m,word_hex,occupancy,sigma_delta_bit,chi,rho,theta,z,phi,depth,phase,lut,kappa,cycle
0,0.00000000,16777216,0,1.000000000000,2A22D3EF039080B3,1,1,0,674,361,-68,57,1,0,22,0,3
1,0.00781250,16776192,-131072,0.999969482577,2F0689F1F90101A3,1,0,0,752,836,-57,912,2,0,52,0,3
2,0.01562500,16774144,-262136,0.999877932171,3C1191E5C4A18063,1,1,0,961,200,-105,74,3,0,12,0,3
3,0.02343750,16771072,-393184,0.999725354369,3066C7F6751201B3,1,1,0,774,867,-39,849,4,0,54,0,3
4,0.03125000,16766977,-524208,0.999511758485,3C319DE905528063,1,1,0,963,206,-92,85,5,0,12,0,3
5,0.03906250,16761858,-655200,0.999237157555,30C6C5F5F52301B3,1,1,0,780,866,-41,850,6,0,54,0,3
6,0.04687500,16755716,-786152,0.998901568338,3C319DE905438063,1,1,0,963,206,-92,84,7,0,12,0,3
7,0.05468750,16748551,-917056,0.998505011319,30C6C7F5F52401B3,1,1,0,780,867,-41,850,8,0,54,0,3
8,0.06250000,16740364,-1047904,0.998047510700,3C499DE945448263,1,1,0,964,1230,-91,84,9,0,76,0,3
9,0.07031250,16731155,-1178688,0.997529094405,3DBE2815FD35038B,1,1,0,987,1812,87,979,10,0,113,0,3
10,0.07812500,16720925,-1309400,0.996949794076,4E112A054B15804B,0,1,0,1249,149,21,177,11,0,9,0,3
11,0.08593750,16709675,-1440032,0.996309645070,364EFFF6B2A603BB,1,1,0,868,1919,-38,810,12,0,119,0,3
12,0.09375000,16697405,-1570576,0.995608686458,4A310E0E0D368043,0,1,0,1187,135,56,211,13,0,8,0,3
13,0.10156250,16684116,-1701024,0.994846961024,362EF7F2330703BB,1,1,0,866,1915,-56,816,14,0,119,0,3
14,0.10937500,16669808,-1831369,0.994024515258,4A090A0E4CF78243,0,1,0,1184,1157,57,207,15,0,72,0,3
15,0.11718750,16654483,-1961602,0.993141399360,430E58123B180393,0,1,0,1072,1836,72,945,16,0,114,0,3
16,0.12500000,16638141,-2091715,0.992197667229,4ED9360A4AC8824B,0,1,0,1261,1179,41,172,17,0,73,0,3
17,0.13281250,16620784,-2221700,0.991193376467,43AE6416FAD9039B,0,1,0,1082,1842,91,941,18,0,115,0,3
18,0.14062500,16602413,-2351550,0.990128588370,4F393A0A4AE9824B,0,1,0,1267,1181,41,174,19,0,73,0,3
19,0.14843750,16583028,-2481256,0.989003367927,43CE6416FACA039B,0,1,0,1084,1842,91,940,20,0,115,0,3
20,0.15625000,16562631,-2610811,0.987817783816,4F413A0A4AEA804B,0,1,0,1268,157,41,174,21,0,9,0,3
21,0.16406250,16541223,-2740207,0.986571908399,36D703F6F2BB01C3,1,1,0,877,897,-37,811,22,0,56,0,3
22,0.17187500,16518806,-2869435,0.985265817718,3D69ADEE451B826B,1,1,0,982,1238,-71,81,23,0,77,0,3
23,0.17968750,16495380,-2998488,0.983899591490,3E3E2C163D4C038B,1,1,0,995,1814,88,980,24,0,113,0,3
24,0.18750000,16470948,-3127358,0.982473313101,4E512A058B0C804B,0,1,0,1253,149,22,176,25,0,9,0,3
25,0.19531250,16445510,-3256037,0.980987069606,364EFFF6B2AD03BB,1,1,0,868,1919,-38,810,26,0,119,0,3
26,0.20312500,16419068,-3384518,0.979440951716,4A490E0E0D3D864B,0,1,0,1188,1159,56,211,27,1,73,0,3
27,0.21093750,16391624,-3512792,0.977835053798,431658123B0E059B,1,1,0,1073,812,72,944,28,1,51,0,3
28,0.21875000,16363180,-3640852,0.976169473869,41F1D5EA02BE847B,0,1,0,1055,234,-88,43,29,1,15,0,3
29,0.22656250,16333737,-3768689,0.974444313586,31CED7FAF50F07BB,1,1,0,796,1899,-21,848,30,1,119,0,3
30,0.23437500,16303297,-3896296,0.972659678245,49D102098D6F844B,0,1,0,1181,129,38,214,31,1,9,0,3
31,0.24218750,16271862,-4023666,0.970815676770,49DEFE098D60044F,0,1,0,1181,1919,38,214,0,1,9,1,3
32,0.25000000,16239434,-4150790,0.968912421711,4C6DDE2A00D08497,0,1,0,1222,1775,168,13,1,1,18,1,3
33,0.25781250,16206015,-4277661,0.966950029231,4579F6271121058F,0,1,0,1111,1275,156,274,2,1,49,1,3
34,0.26562500,16171607,-4404270,0.964928619105,45AE400E7CD1847F,0,1,0,1114,1824,57,973,3,1,15,1,3
35,0.27343750,16136212,-4530611,0.962848314709,4F79380AC9F205BF,0,1,0,1271,1180,43,159,4,1,55,1,3
36,0.28125000,16099832,-4656675,0.960709243016,439668177AD2866F,1,1,0,1081,820,93,941,5,1,77,1,3
37,0.28906250,16062469,-4782455,0.958511534581,4269D9EA02E30597,1,1,0,1062,1260,-88,46,6,1,50,1,3
38,0.29687500,16024126,-4907943,0.956255323543,3EDE381B3CF3847F,1,1,0,1005,1820,108,975,7,1,15,1,3
39,0.30468750,15984805,-5033131,0.953940747609,4EB12E058B3407BF,0,1,0,1259,151,22,179,8,1,119,1,3
40,0.31250000,15944508,-5158012,0.951567948048,3656FFF6F294864F,1,1,0,869,895,-37,809,9,1,73,1,3
41,0.32031250,15903238,-5282578,0.949137069684,3D69ADEE0525059F,1,1,0,982,1238,-72,82,10,1,51,1,3
42,0.32812500,15860997,-5406822,0.946648260886,3E262C163D45867F,1,1,0,994,790,88,980,11,1,79,1,3
43,0.33593750,15817788,-5530736,0.944101673557,4169C9E543060597,1,1,0,1046,1252,-107,48,12,1,50,1,3
44,0.34375000,15773614,-5654312,0.941497463128,3E46341AFCE6867F,1,1,0,996,794,107,974,13,1,79,1,3
45,0.35156250,15728477,-5777543,0.938835788546,41A9CDE503370597,1,1,0,1050,1254,-108,51,14,1,50,1,3
46,0.35937500,15682380,-5900422,0.936116812267,3E5E341AFCD7847F,1,1,0,997,1818,107,973,15,1,15,1,3
47,0.36718750,15635326,-6022941,0.933340700243,4E912E054B4807BF,0,1,0,1257,151,21,180,16,1,119,1,3
48,0.37500000,15587317,-6145092,0.930507621912,364EFFF6F298844F,1,1,0,868,1919,-37,809,17,1,9,1,3
49,0.38281250,15538357,-6266868,0.927617750193,4A510E0E0D3907C7,0,1,0,1189,135,56,211,18,1,120,1,3
50,0.39062500,15488449,-6388261,0.924671261467,3616F7F23309864F,1,1,0,865,891,-56,816,19,1,73,1,3
51,0.39843750,15437595,-6509265,0.921668335573,3D29A9EE04FA09A7,1,1,0,978,1236,-72,79,20,2,52,1,3
52,0.40625000,15385799,-6629871,0.918609155795,3DFE2C163D5A8887,1,1,0,991,1814,88,981,21,2,16,1,3
53,0.41406250,15333064,-6750073,0.915493908848,4E692A054B0B09C7,0,1,0,1254,1173,21,176,22,2,56,1,3
54,0.42187500,15279393,-6869863,0.912322784872,43166016FAAB8A7F,1,1,0,1073,816,91,938,23,2,79,1,3
55,0.42968750,15224790,-6989233,0.909095977415,4251D9E9C2FC0B9F,0,1,0,1061,236,-89,47,24,2,115,1,3
56,0.43750000,15169257,-7108177,0.905813683426,31CED7FAF4FC885F,1,1,0,796,1899,-21,847,25,2,11,1,3
57,0.44531250,15112799,-7226687,0.902476103238,49F102098D7D0BCF,0,1,0,1183,129,38,215,26,2,121,1,3
58,0.45312500,15055418,-7344756,0.899083440560,35AEF5F232DD8857,1,0,0,858,1914,-56,813,27,2,10,1,3
59,0.46093750,14997118,-7462376,0.895635902463,4A090A0E0D1E09CF,0,1,0,1184,1157,56,209,28,2,57,1,3
60,0.46875000,14937903,-7579541,0.892133699367,42D658123B1E8A7F,1,1,0,1069,812,72,945,29,2,79,1,3
61,0.47656250,14877776,-7696243,0.888577045028,4211D5EA02CF0B9F,0,1,0,1057,234,-88,44,30,2,115,1,3
62,0.48437500,14816741,-7812476,0.884966156526,3196D7FAF4FF8A5F,1,1,0,793,875,-21,847,31,2,75,1,3
63,0.49218750,14754802,-7928232,0.881301254251,31992BFAF4F00A5B,1,1,0,793,1173,-21,847,0,2,75,0,3
64,0.50000000,14691962,-8043504,0.877582561890,40C973F287C08A6B,1,1,0,1036,1209,-54,124,1,2,77,0,3
65,0.50781250,14628225,-8158285,0.873810306413,3F1E36153C710B9B,0,1,0,1009,1819,84,967,2,2,115,0,3
66,0.51562500,14563596,-8272568,0.869984718058,4E812E068B01885B,0,1,0,1256,151,26,176,3,2,11,0,3
67,0.52343750,14498078,-8386346,0.866106030321,362F01F6B2A20BD3,1,1,0,866,1920,-38,810,4,2,122,0,3
68,0.53125000,14431675,-8499612,0.862174479935,4A710C0E0D328853,0,1,0,1191,134,56,211,5,2,10,0,3
69,0.53906250,14364391,-8612359,0.858190306863,35F6F7F232F309CB,1,1,0,863,891,-56,815,6,2,57,0,3
70,0.54687500,14296230,-8724581,0.854153754277,3D49A9EE04F38A7B,1,1,0,980,1236,-72,79,7,2,79,0,3
71,0.55468750,14227197,-8836270,0.850065068549,3DE62C163D44099B,1,1,0,990,790,88,980,8,2,51,0,3
72,0.56250000,14157295,-8947420,0.845924499231,4189C9E543048A83,1,1,0,1048,1252,-107,48,9,2,80,0,3
73,0.57031250,14086529,-9058024,0.841732299041,3E1E341AFCD50B9B,1,0,0,993,1818,107,973,10,2,115,0,3
74,0.57812500,14014903,-9168075,0.837488723851,4EC92E054B458A5B,0,1,0,1260,1175,21,180,11,2,75,0,3
75,0.58593750,13942422,-9277566,0.833194032665,43166016FA9609AB,1,1,0,1073,816,91,937,12,2,53,0,3
76,0.59375000,13869090,-9386491,0.828848487609,4271D9E9C2F68C8B,0,1,0,1063,236,-89,47,13,3,17,0,3
77,0.60156250,13794912,-9494843,0.824452353914,3196D7FAF4E70DCB,1,1,0,793,875,-21,846,14,3,57,0,3
78,0.60937500,13719892,-9602616,0.820005899897,3D11A1E945778C83,1,1,0,977,208,-91,87,15,3,16,0,3
79,0.61718750,13644034,-9709803,0.815509396946,30A6C7F635080DCB,1,1,0,778,867,-40,848,16,3,57,0,3
80,0.62500000,13567343,-9816397,0.810963119505,3C919DE905588C7B,1,1,0,969,206,-92,85,17,3,15,0,3
81,0.63281250,13489824,-9922392,0.806367345055,307EC7F635190FCB,1,1,0,775,1891,-40,849,18,3,121,0,3
82,0.64062500,13411482,-10027781,0.801722354098,4988FC090D698E53,0,1,0,1176,1150,36,214,19,3,74,0,3
83,0.64843750,13332321,-10132558,0.797028430141,424E54123AEA0FAB,0,1,0,1060,1834,72,942,20,3,117,0,3
84,0.65625000,13252347,-10236717,0.792285859677,4F193409CADA8E63,0,0,0,1265,1178,39,173,21,3,76,0,3
85,0.66406250,13171564,-10340251,0.787494932168,434E6416FACB0FB3,0,1,0,1076,1842,91,940,22,3,118,0,3
86,0.67187500,13089977,-10443154,0.782655940026,4F993A0A0AFB8E63,0,1,0,1273,1181,40,175,23,3,76,0,3
87,0.67968750,13007591,-10545419,0.777769178600,436E64173ABC0FB3,0,1,0,1078,1842,92,939,24,3,118,0,3
88,0.68750000,12924411,-10647041,0.772834946152,4FA13A0A0AFC8C63,0,1,0,1274,157,40,175,25,3,12,0,3
89,0.69531250,12840442,-10748013,0.767853543843,367705F732AD0DDB,1,1,0,871,898,-36,810,26,3,59,0,3
90,0.70312500,12755689,-10848329,0.762825275711,3DC9ADEE052D8E83,1,1,0,988,1238,-72,82,27,3,80,0,3
91,0.71093750,12670158,-10947983,0.757750448655,3DDE2C167D3E0FA3,1,1,0,989,1814,89,979,28,3,116,0,3
92,0.71875000,12583854,-11046969,0.752629372418,4EA92A054B1E8E63,0,1,0,1258,1173,21,177,29,3,76,0,3
93,0.72656250,12496781,-11145280,0.747462359563,42D66016FA9F0DB3,1,0,0,1069,816,91,937,30,3,54,0,3
94,0.73437500,12408946,-11242911,0.742249725459,4291D9E9C2FF8C8B,0,1,0,1065,236,-89,47,31,3,17,0,3
95,0.74218750,12320353,-11339856,0.736991788256,429E29E9C2F00C8F,0,1,0,1065,1812,-89,47,0,3,17,1,3
96,0.75000000,12231008,-11436109,0.731688868874,4575E22C41408E9F,0,1,0,1111,753,177,20,1,3,83,1,3
97,0.75781250,12140917,-11531664,0.726341290974,37DA84034A010D77,1,1,0,893,1346,13,160,2,3,46,1,3
98,0.76562500,12050085,-11626515,0.720949380946,40060E11BED18E97,1,1,0,1024,775,70,1005,3,3,82,1,3
99,0.77343750,11958517,-11720656,0.715513467883,4229C9E582520DA7,1,1,0,1058,1252,-106,37,4,3,52,1,3
100,0.78125000,11866219,-11814082,0.710033883566,3DDE381BBCE28C8F,1,0,0,989,1820,110,974,5,3,17,1,3
101,0.78906250,11773197,-11906787,0.704510962441,4F092C050B5311D7,0,1,0,1264,1174,20,181,6,4,58,1,3
102,0.79687500,11679457,-11998765,0.698945041597,42EE60173A83908F,0,1,0,1070,1840,92,936,7,4,17,1,3
103,0.80468750,11585004,-12090011,0.693336460751,4FA13A09CB0413D7,0,1,0,1274,157,39,176,8,4,122,1,3
104,0.81250000,11489844,-12180519,0.687685562221,364F03F732A4905F,1,1,0,868,1921,-36,810,9,4,11,1,3
105,0.82031250,11393982,-12270283,0.681992690908,4AE90E0E0D3511DF,0,1,0,1198,1159,56,211,10,4,59,1,3
106,0.82812500,11297425,-12359298,0.676258194277,42AE5A127AF5908F,0,0,0,1066,1837,73,943,11,4,17,1,3
107,0.83593750,11200178,-12447559,0.670482422331,4F61360A0AD613D7,0,1,0,1270,155,40,173,12,4,122,1,3
108,0.84375000,11102248,-12535060,0.664665727594,362F05F6F2B6905F,1,1,0,866,1922,-37,811,13,4,11,1,3
109,0.85156250,11003640,-12621796,0.658808465086,4AF10C0E0D3713DF,0,1,0,1199,134,56,211,14,4,123,1,3
110,0.85937500,10904361,-12707762,0.652910992306,35AEF9F272E79067,1,1,0,858,1916,-55,814,15,4,12,1,3
111,0.86718750,10804416,-12792952,0.646973669204,4A91080E0D1813DF,0,1,0,1193,132,56,209,16,4,123,1,3
112,0.87500000,10703812,-12877362,0.640996858163,358EF9F232F89067,1,0,0,856,1916,-56,815,17,4,12,1,3
113,0.88281250,10602554,-12960986,0.634980923979,4A91080E0D1913DF,0,1,0,1193,132,56,209,18,4,123,1,3
114,0.89062500,10500649,-13043818,0.628926233831,3576F9F232F99267,1,1,0,855,892,-56,815,19,4,76,1,3
115,0.89843750,10398103,-13125854,0.622833157268,3DA9A7EDC51A11B7,1,1,0,986,1235,-73,81,20,4,54,1,3
116,0.90625000,10294923,-13207089,0.616702066179,3D862E167D3A9297,1,1,0,984,791,89,979,21,4,82,1,3
117,0.91406250,10191114,-13287518,0.610533334774,41F1C9E5031B13AF,0,0,0,1055,228,-108,49,22,4,117,1,3
118,0.92187500,10086683,-13367136,0.604327339562,30D6D3FB34CB926F,1,1,0,781,873,-20,844,23,4,77,1,3
119,0.92968750,9981637,-13445938,0.598084459324,3D51A1E9058C13BF,1,1,0,981,208,-92,88,24,4,119,1,3
120,0.93750000,9875981,-13523920,0.591805075092,3046C9F6750C926F,1,1,0,772,868,-39,848,25,4,77,1,3
121,0.94531250,9769723,-13601076,0.585489570130,3CF19BE9056D13BF,1,1,0,975,205,-92,86,26,4,119,1,3
122,0.95312500,9662868,-13677402,0.579138329902,3026C7F6350D926F,1,0,0,770,867,-40,848,27,4,77,1,3
123,0.96093750,9555424,-13752893,0.572751742055,3CE99BE8C56E11BF,1,1,0,974,1229,-93,86,28,4,55,1,3
124,0.96875000,9447396,-13827545,0.566330196393,3CFE28163D1E9097,1,1,0,975,1812,88,977,29,4,18,1,3
125,0.97656250,9338792,-13901353,0.559874084856,4EC92804CB3F11D7,0,1,0,1260,1172,19,179,30,4,58,1,3
126,0.98437500,9229618,-13974312,0.553383801490,42766016FA8F9697,1,1,0,1063,816,91,936,31,5,82,1,3
127,0.99218750,9119880,-14046418,0.546859742429,4279A016FA801693,1,0,0,1063,1232,91,936,0,5,82,0,3
128,1.00000000,9009586,-14117667,0.540302305868,481197F68640948B,0,1,0,1153,203,-38,100,1,5,17,0,3
129,1.00781250,8898742,-14188054,0.533711892039,3316E9F9B3F115E3,1,1,0,817,884,-26,831,2,5,60,0,3
130,1.01562500,8787355,-14257575,0.527088903187,3DD1A5EB05619493,1,1,0,989,210,-84,86,3,5,18,0,3
131,1.02343750,8675431,-14326226,0.520433743546,305ECBF6750217DB,1,0,0,773,1893,-39,848,4,5,123,0,3
132,1.03125000,8562978,-14394003,0.513746819310,4A10FC090D629463,0,1,0,1185,126,36,214,5,5,12,0,3
133,1.03906250,8450002,-14460901,0.507028538617,34EEF5F232C317E3,1,1,0,846,1914,-56,812,6,5,124,0,3
134,1.04687500,8336510,-14526917,0.500279311516,4AA9080DCD23966B,0,1,0,1194,1156,55,210,7,5,77,0,3
135,1.05468750,8222510,-14592046,0.493499549943,422E5A127AF417BB,0,0,0,1058,1837,73,943,8,5,119,0,3
136,1.06250000,8108008,-14656284,0.486689667702,4FB93409CAE49673,0,1,0,1275,1178,39,174,9,5,78,0,3
137,1.07031250,7993011,-14719628,0.479850080432,42D666173AA515C3,1,1,0,1069,819,92,938,10,5,56,0,3
138,1.07812500,7877526,-14782073,0.472981205586,4329D7E9C305969B,1,1,0,1074,1259,-89,48,11,5,83,0,3
139,1.08593750,7761560,-14843616,0.466083462405,3E063A1B7CD615B3,1,0,0,992,797,109,973,12,5,54,0,3
140,1.09375000,7645121,-14904253,0.459157271892,4291CDE50346949B,0,1,0,1065,230,-108,52,13,5,19,0,3
141,1.10156250,7528215,-14963981,0.452203056786,30AED5FB74A717DB,1,1,0,778,1898,-19,842,14,5,123,0,3
142,1.10937500,7410849,-15022795,0.445221241536,4A8900090DA7966B,0,1,0,1192,1152,36,218,15,5,77,0,3
143,1.11718750,7293031,-15080692,0.438212252276,41D656127AB815BB,1,0,0,1053,811,73,939,16,5,55,0,3
144,1.12500000,7174768,-15137669,0.431176516799,42B1D3E982E8949B,0,1,0,1067,233,-90,46,17,5,19,0,3
145,1.13281250,7056067,-15193722,0.424114464529,30D6D9FB34E915DB,1,1,0,781,876,-20,846,18,5,59,0,3
146,1.14062500,6936935,-15248848,0.417026526499,3DB19FE90589948B,1,0,0,987,207,-92,88,19,5,17,0,3
147,1.14843750,6817380,-15303043,0.409913135319,3006C9F6B4FA15DB,1,1,0,768,868,-38,847,20,5,59,0,3
148,1.15625000,6697409,-15356304,0.402774725154,3D499BE8C57A968B,1,1,0,980,1229,-93,87,21,5,81,0,3
149,1.16406250,6577029,-15408628,0.395611731695,3CBE2A167D0B17B3,1,0,0,971,1813,89,976,22,5,118,0,3
150,1.17187500,6456248,-15460011,0.388424592136,4F112804CB4B9473,0,1,0,1265,148,19,180,23,5,14,0,3
151,1.17968750,6335073,-15510450,0.381213745141,354F01F7327C1BF3,1,1,0,852,1920,-36,807,24,6,126,0,3
152,1.18750000,6213511,-15559943,0.373979630825,4B490C0D8D5C9A73,0,1,0,1204,1158,54,213,25,6,78,0,3
153,1.19531250,6091570,-15608486,0.366722690719,42165A12BAED19C3,1,0,0,1057,813,74,942,26,6,56,0,3
154,1.20312500,5969257,-15656076,0.359443367750,42F1D3E9C2ED98A3,0,1,0,1071,233,-89,46,27,6,20,0,3
155,1.21093750,5846580,-15702711,0.352142106211,30CED9FB34DE1BE3,1,1,0,780,1900,-20,845,28,6,124,0,3
156,1.21875000,5723546,-15748387,0.344819351733,4AC900090D9E9A73,0,0,0,1196,1152,36,217,29,6,78,0,3
157,1.22656250,5600162,-15793102,0.337475551258,41B65612BABF19C3,1,1,0,1051,811,74,939,30,6,56,0,3
158,1.23437500,5476437,-15836853,0.330111153016,42E9D3E982FF9AA3,1,1,0,1070,1257,-90,47,31,6,84,0,3
159,1.24218750,5352377,-15879638,0.322726606490,42E62FE982F01AA7,1,0,0,1070,791,-90,47,0,6,84,1,3
160,1.25000000,5227991,-15921453,0.315322362395,37C6820CB9309A8F,1,1,0,892,833,50,915,1,6,81,1,3
161,1.25781250,5103286,-15962297,0.307898872649,4091B7E6C4511BC7,0,1,0,1033,219,-101,69,2,6,120,1,3
162,1.26562500,4978269,-16002166,0.300456590342,302ECFF934C1987F,1,0,0,770,1895,-28,844,3,6,15,1,3
163,1.27343750,4852948,-16041059,0.292995969714,4AA8FE08CD9219F7,0,1,0,1194,1151,35,217,4,6,62,1,3
164,1.28125000,4727331,-16078973,0.285517466122,41965612BAB29A9F,1,0,0,1049,811,74,939,5,6,83,1,3
165,1.28906250,4601425,-16115905,0.278021536016,42F1D3E982F31BBF,0,1,0,1071,233,-90,47,6,6,119,1,3
166,1.29687500,4475239,-16151854,0.270508636908,3096D9FB34D39A7F,1,1,0,777,876,-20,845,7,6,79,1,3
167,1.30468750,4348779,-16186817,0.262979227346,3DF19FE8C5941BCF,0,0,0,991,207,-93,89,8,6,121,1,3
168,1.31250000,4222054,-16220792,0.255433766889,2FCEC9F6B4E4987F,1,1,0,764,1892,-38,846,9,6,15,1,3
169,1.32031250,4095071,-16253777,0.247872716071,4A70FC08CD851BF7,0,1,0,1191,126,35,216,10,6,126,1,3
170,1.32812500,3967838,-16285770,0.240296536379,346EF5F272B59877,1,0,0,838,1914,-55,811,11,6,14,1,3
171,1.33593750,3840363,-16316769,0.232705690226,4B11060D8D361BEF,0,1,0,1201,131,54,211,12,6,125,1,3
172,1.34375000,3712654,-16346772,0.225100640917,34CEF9F272D69877,1,0,0,844,1916,-55,813,13,6,14,1,3
173,1.35156250,3584718,-16375777,0.217481852625,4B31080D8D371BEF,0,1,0,1203,132,54,211,14,6,125,1,3
174,1.35937500,3456563,-16403783,0.209849790361,34CEF9F2B2D79877,1,1,0,844,1916,-54,813,15,6,14,1,3
175,1.36718750,3328197,-16430787,0.202204919948,4B49080D8D3819EF,0,0,0,1204,1156,54,211,16,6,61,1,3
176,1.37500000,3199628,-16456789,0.194547707989,41B65A12BAE89EA7,1,1,0,1051,813,74,942,17,7,84,1,3
177,1.38281250,3070864,-16481786,0.186878621840,4331D3E982F91FC7,0,0,0,1075,233,-90,47,18,7,120,1,3
178,1.39062500,2941913,-16505777,0.179198129584,3076D9FB74C99E87,1,1,0,775,876,-19,844,19,7,80,1,3
179,1.39843750,2812782,-16528761,0.171506699997,3E299FE8C5AA1DD7,1,1,0,994,1231,-93,90,20,7,58,1,3
180,1.40625000,2683479,-16550736,0.163804802526,3C9E2A16FCEA9CAF,1,0,0,969,1813,91,974,21,7,21,1,3
181,1.41406250,2554013,-16571701,0.156092907253,4F892804CB4B1DEF,0,1,0,1272,1172,19,180,22,7,61,1,3
182,1.42187500,2424391,-16591654,0.148371484874,41D662177A7B9E9F,1,0,0,1053,817,93,935,23,7,83,1,3
183,1.42968750,2294621,-16610595,0.140641006665,4389D7E9432C1DC7,1,1,0,1080,1259,-91,50,24,7,56,1,3
184,1.43750000,2164711,-16628522,0.132901944453,3D7E3A1BBCCC9CAF,1,0,0,983,1821,110,972,25,7,21,1,3
185,1.44531250,2034669,-16645434,0.125154770591,50092C04CB6D1DEF,0,1,0,1280,1174,19,182,26,7,61,1,3
186,1.45312500,1904502,-16661330,0.117399957928,420E6217BA6D9C9F,0,1,0,1056,1841,94,934,27,7,19,1,3
187,1.46093750,1774219,-16676209,0.109637979776,509938098B2E1DEF,0,0,0,1289,1180,38,178,28,7,61,1,3
188,1.46875000,1643828,-16690070,0.101869309886,42566617BA8E9E9F,1,1,0,1061,819,94,936,29,7,83,1,3
189,1.47656250,1513336,-16702912,0.094094422420,43C9D7E9831F1DC7,1,0,0,1084,1259,-90,49,30,7,56,1,3
190,1.48437500,1382752,-16714735,0.086313791914,3D7E3A1BBCCF9CAF,1,1,0,983,1821,110,972,31,7,21,1,3
191,1.49218750,1252084,-16725538,0.078527893260,3D71C61BBCC01CAB,1,0,0,983,227,110,972,0,7,21,0,3
192,1.50000000,1121339,-16735320,0.070737201668,3C0A23D33EF09EC3,1,1,0,960,1297,-180,1007,1,7,88,0,3
193,1.50781250,990526,-16744080,0.062942192641,474581FDF5D11D9B,0,0,0,1140,704,-9,861,2,7,51,0,3
194,1.51562500,859652,-16751818,0.055143341948,4121F1EE01619CB3,0,1,0,1042,248,-72,22,3,7,22,0,3
195,1.52343750,728726,-16758534,0.047341125589,2FEED9FAF5821FEB,1,0,0,766,1900,-21,856,4,7,125,0,3
196,1.53125000,597755,-16764227,0.039536019772,4B68FC084D929E73,0,1,0,1206,1150,33,217,5,7,78,0,3
197,1.53906250,466748,-16768897,0.031728500880,412E5812FA931FCB,0,0,0,1042,1836,75,937,6,7,121,0,3
198,1.54687500,335713,-16772543,0.023919045444,504132094B139C83,0,1,0,1284,153,37,177,7,7,16,0,3
199,1.55468750,204657,-16775166,0.016108130112,350F05F772841FFB,1,0,0,848,1922,-35,808,8,7,127,0,3
200,1.56250000,73589,-16776765,0.008296231624,4BF10A0D8D649C7B,0,1,0,1215,133,54,214,9,7,15,0,3
201,1.57031250,-57484,-16777340,0.000483826776,3496FBF2F2C521FB,1,0,0,841,893,-53,812,10,8,63,0,3
202,1.57812500,-188553,-16776891,-0.007328607602,3EA9A7ED8535A2AB,1,1,0,1002,1235,-74,83,11,8,85,0,3
203,1.58593750,-319611,-16775418,-0.015140594680,3C9E3016FD1623CB,1,0,0,969,1816,91,977,12,8,121,0,3
204,1.59375000,-450649,-16772921,-0.022951657654,4FD12604CB46A08B,0,1,0,1277,147,19,180,13,8,17,0,3
205,1.60156250,-581660,-16769400,-0.030761319777,34B703F772572203,1,0,0,843,897,-35,805,14,8,64,0,3
206,1.60937500,-712635,-16764856,-0.038569104387,3ED1A9ED4577A0AB,1,1,0,1005,212,-75,87,15,8,21,0,3
207,1.61718750,-843567,-16759289,-0.046374534938,2FC6CFF6B4F821F3,1,0,0,764,871,-38,847,16,8,62,0,3
208,1.62500000,-974447,-16752699,-0.054177135027,3DE99BE8C588A2A3,1,1,0,990,1229,-93,88,17,8,84,0,3
209,1.63281250,-1105268,-16745086,-0.061976428422,3C462A16BCE921CB,1,0,0,964,789,90,974,18,8,57,0,3
210,1.64062500,-1236022,-16736451,-0.069771939096,42A9C7E48349A2B3,1,1,0,1066,1251,-110,52,19,8,86,0,3
211,1.64843750,-1366700,-16726795,-0.077563191250,3CE6361B7CAA21CB,1,0,0,974,795,109,970,20,8,57,0,3
212,1.65625000,-1497295,-16716118,-0.085349709347,42F1CBE4837AA0B3,0,1,0,1071,229,-110,55,21,8,22,0,3
213,1.66406250,-1627798,-16704420,-0.093131018138,3016D5FB749B21F3,1,0,0,769,874,-19,841,22,8,62,0,3
214,1.67187500,-1758202,-16691703,-0.100906642691,3E119FE885ABA0A3,1,1,0,993,207,-94,90,23,8,20,0,3
215,1.67968750,-1888499,-16677967,-0.108676108423,2F7EC9F6B4EC23F3,1,0,0,759,1892,-38,846,24,8,126,0,3
216,1.68750000,-2018680,-16663213,-0.116438941125,4AA8FC08CD8CA27B,0,1,0,1194,1150,35,216,25,8,79,0,3
217,1.69531250,-2148738,-16647442,-0.124194666994,41365612BABD21D3,1,0,0,1043,811,74,939,26,8,58,0,3
218,1.70312500,-2278665,-16630655,-0.131942812661,4329D1E9430DA2B3,1,0,0,1074,1256,-91,48,27,8,86,0,3
219,1.71093750,-2408453,-16612853,-0.139682905219,3D463A1B7CDE21CB,1,1,0,980,797,109,973,28,8,57,0,3
220,1.71875000,-2538094,-16594037,-0.147414472252,4309CBE4C36EA2B3,1,0,0,1072,1253,-109,54,29,8,86,0,3
221,1.72656250,-2667580,-16574208,-0.155137041866,3D26361BBC9F21CB,1,1,0,978,795,110,969,30,8,57,0,3
222,1.73437500,-2796903,-16553368,-0.162850142714,42E9CBE4C37FA2B3,1,0,0,1070,1253,-109,55,31,8,86,0,3
223,1.74218750,-2926055,-16531517,-0.170553304029,42E637E4C37022B7,1,0,0,1070,795,-109,55,0,8,86,1,3
224,1.75000000,-3055029,-16508657,-0.178246055649,37667C0D3900A2A7,1,1,0,886,830,52,912,1,8,84,1,3
